sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"Bouquet ""Tenderness""",,Default,simple,"Default Category/Author's bouquets,Default Category/Compositions,Default Category/Festive bouquets",base,"Bouquet ""Tenderness""","<p>The bouquet consists of roses, chamomile and other wildflowers.</p>","<p>A gentle combination of roses and wildflowers.</p>",,1,0,"Catalog, Search",300.000000,,,,bouquet-tenderness,"Bouquet ""Tenderness""","Bouquet ""Tenderness""","Bouquet ""Tenderness"" The bouquet consists of roses, chamomile and other wildflowers.",/p/o/popular2.png,,/p/o/popular2.png,,/p/o/popular2.png,,/p/o/popular2.png,,"7/19/21, 5:50 AM","7/20/21, 2:58 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=15 flowers,color=mixed",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/p/o/popular2.png,,,,,,,,,,,,,,
"Bouquet ""Discovery""",,Default,simple,"Default Category/Author's bouquets,Default Category/Compositions,Default Category/Festive bouquets",base,"Bouquet ""Discovery""","<p>The bouquet consists of white flowers including roses, chrysanthemums and some green additions.</p>","<p>White bouquet full of new discoveries.</p>",,1,0,"Catalog, Search",250.000000,233.000000,7/20/21,7/27/21,bouquet-discovery,"Bouquet ""Discovery""","Bouquet ""Discovery""","Bouquet ""Discovery"" The bouquet consists of white flowers including roses, chrysanthemums and some green additions.",/p/o/popular1.png,,/p/o/popular1.png,,/p/o/popular1.png,,/p/o/popular1.png,,"7/19/21, 5:55 AM","7/20/21, 6:14 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=15 flowers,color=white,cost=250.000000",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/p/o/popular1.png,,,,,,,,,,,,,,
"Bouquet ""Serenity""",,Default,simple,"Default Category/Author's bouquets,Default Category/Compositions",base,"Bouquet ""Serenity""",,,,1,0,"Catalog, Search",300.000000,,,,bouquet-serenity,"Bouquet ""Serenity""","Bouquet ""Serenity""","Bouquet ""Serenity"" ",/p/o/popular3.png,,/p/o/popular3.png,,/p/o/popular3.png,,/p/o/popular3.png,,"7/19/21, 6:08 AM","7/20/21, 2:56 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=15 flowers,color=white",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/p/o/popular3.png,,,,,,,,,,,,,,
"Bouquet ""Roses""-red",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Roses""","<p>The bouquet consists of 35 roses. </p>",,,1,0,"Not Visible Individually",1200.000000,,,,bouquet-roses-red,"Bouquet ""Roses""","Bouquet ""Roses""","Bouquet ""Roses"" The bouquet consists of 35 roses. ",/r/o/roses_1_1.jpg,,/r/o/roses_1_1.jpg,,/r/o/roses_1_1.jpg,,/r/o/roses_1_1.jpg,,"7/19/21, 6:55 AM","7/20/21, 2:52 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"bouquet_size=35 flowers,color=red",15.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/r/o/roses_1_1.jpg,,,,,,,,,,,,,,
"Bouquet ""Roses""-pink",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Roses""","<p>The bouquet consists of 35 roses. </p>",,,1,0,"Not Visible Individually",1200.000000,,,,bouquet-roses-pink,"Bouquet ""Roses""","Bouquet ""Roses""","Bouquet ""Roses"" The bouquet consists of 35 roses. ",/p/i/pink_rose_1_1.jpeg,,/p/i/pink_rose_1_1.jpeg,,/p/i/pink_rose_1_1.jpeg,,/p/i/pink_rose_1_1.jpeg,,"7/19/21, 6:55 AM","7/20/21, 3:56 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"bouquet_size=35 flowers,color=pink",9.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/p/i/pink_rose_1_1.jpeg,,,,,,,,,,,,,,
"Bouquet ""Roses""-white",,"One flower bouquets",virtual,"Default Category/Compositions",base,"Bouquet ""Roses""","<p>The bouquet consists of 35 roses. </p>",,,1,0,"Not Visible Individually",1200.000000,,,,bouquet-roses-white,"Bouquet ""Roses""","Bouquet ""Roses""","Bouquet ""Roses"" The bouquet consists of 35 roses. ",/w/h/white_rose_1_1.jpeg,,/w/h/white_rose_1_1.jpeg,,/w/h/white_rose_1_1.jpeg,,/w/h/white_rose_1_1.jpeg,,"7/19/21, 6:55 AM","7/20/21, 3:56 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,"bouquet_size=35 flowers,color=white",13.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/w/h/white_rose_1_1.jpeg,,,,,,,,,,,,,,
"Bouquet ""Roses""",,"One flower bouquets",configurable,"Default Category/Compositions",base,"Bouquet ""Roses""","<p>The bouquet consists of 35 roses. </p>",,,1,0,"Catalog, Search",,,,,bouquet-roses,"Bouquet ""Roses""","Bouquet ""Roses""","Bouquet ""Roses"" The bouquet consists of 35 roses. ",/w/h/white_rose_2.jpeg,,/w/h/white_rose_2.jpeg,,/w/h/white_rose_2.jpeg,,/w/h/white_rose_2.jpeg,,"7/19/21, 6:55 AM","7/20/21, 2:59 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=35 flowers",0.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,"/r/o/roses_2.jpg,/w/h/white_rose_2.jpeg,/p/i/pink_rose_2.jpeg",",,",,,,,,,,,,,,"sku=Bouquet ""Roses""-red,color=red|sku=Bouquet ""Roses""-pink,color=pink|sku=Bouquet ""Roses""-white,color=white",color=Color
"Bouquet 4",,Default,simple,"Default Category/Flowers in a box,Default Category/Author's bouquets,Default Category/Compositions",base,"Bouquet 4","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci.</p>",,1,0,"Catalog, Search",250.000000,,,,bouquet-4,"Bouquet 4","Bouquet 4","Bouquet 4 Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus al",/b/o/box1.jpeg,,/b/o/box1.jpeg,,/b/o/box1.jpeg,,/b/o/box1.jpeg,,"7/19/21, 9:06 AM","7/20/21, 3:00 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=9 flowers,color=mixed",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/box1.jpeg,,,,,,,,,,,,,,
"Bouquet 5",,Default,simple,"Default Category/Flowers in a box,Default Category/Author's bouquets,Default Category/Compositions,Default Category/Festive bouquets",base,"Bouquet 5","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit</p>",,1,0,"Catalog, Search",350.000000,,,,bouquet-5,"Bouquet 5","Bouquet 5","Bouquet 5 Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus al",/b/o/box2.jpeg,,/b/o/box2.jpeg,,/b/o/box2.jpeg,,/b/o/box2.jpeg,,"7/19/21, 9:08 AM","7/20/21, 3:02 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=25 flowers,color=mixed",20.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/box2.jpeg,,,,,,,,,,,,,,
"Bouquet 6",,Default,simple,"Default Category/Flowers in a box,Default Category/Author's bouquets,Default Category/Compositions,Default Category/Festive bouquets",base,"Bouquet 6","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus aliquam. Pellentesque blandit, nulla ut semper scelerisque, metus urna auctor est, placerat suscipit justo turpis vel quam. Cras nulla arcu, gravida a pulvinar eget, lobortis sit amet mauris. Interdum et malesuada fames ac ante ipsum primis in faucibus.</p>
<p>Aenean sed orci lorem. Vivamus laoreet lacus in urna ornare, non tincidunt nunc convallis. Suspendisse ullamcorper metus pellentesque lectus ultricies dapibus. Cras tincidunt sem vitae neque interdum vehicula. Cras ullamcorper molestie elit vel posuere. Cras tempus iaculis dolor, sit amet suscipit metus convallis ut. Donec arcu ligula, ultrices non ipsum ut, consequat luctus mauris.</p>","<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor.</p>",,1,0,"Catalog, Search",300.000000,,,,bouquet-6,"Bouquet 6","Bouquet 6","Bouquet 6 Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec non nibh orci. Curabitur eget est dolor. Morbi vestibulum, est eget scelerisque cursus, nulla augue interdum arcu, sit amet consequat risus velit ac ligula. Cras tincidunt finibus al",/b/o/box3.jpeg,,/b/o/box3.jpeg,,/b/o/box3.jpeg,,/b/o/box3.jpeg,,"7/19/21, 9:10 AM","7/20/21, 3:03 AM",,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,"bouquet_size=15 flowers,color=pink",25.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/b/o/box3.jpeg,,,,,,,,,,,,,,
